name,description,cuisine,course,diet,ingredients_name,ingredients_quantity,prep_time (in mins),cook_time (in mins),instructions,Season
Grilled Chicken Wings Recipe,"Grilled Chicken Wings are one of the favourite dishes of all the chicken lovers. The taste, flavour and the aroma of this dish, says it all. You can serve it as a starter in your parties or when you have guests at home. The spiciness of the chicken will make you drool over its taste.",Continental,Appetizer,Non Vegeterian,"Chicken Wings, Garlic, Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce), Homemade tomato puree, Red Chilli flakes, Rosemary, Honey, Lemon juice, Oil, Salt","500 grams Chicken Wings  6 cloves Garlic , finely chopped  2 tablespoons Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce)  2 tablespoons Homemade tomato puree  1 teaspoon Red Chilli flakes  1 teaspoon Rosemary  1 tablespoon Honey  1 Lemon juice  2 tablespoons Oil Salt , as required",10,60,"To prepare the Grilled Chicken Wings, into a bowl combine the garlic, sweet chilli sauce, tomato puree, chilli flakes, rosemary,  honey, lemon juice, oil and salt. Now add the chicken into this marinade mixture and allow it to rest for about 45 minutes to an hour.Heat some 2 tablespoons of oil in a grill pan and grill the chicken wings on medium to high heat, flipping frequently and brushing with the marinade for 15-20 minutes or until cooked through.Serve Grilled Chicken Wings as an appetizer, along with Mexican Chilli & Cheesy Bean Dip Recipe (Refried Bean Dip Recipe)and a Chickpea Orange Salad Recipe with Sun Dried Tomatoes.",Summer
Fresh & Juicy Chickpea Salad with Fruits & Vegetables,"Chickpea Salad along with fresh cubed oranges, pomegranate and mint tossed in olive oil, a squeeze of lemon juice and paprika is wholesome and can make a light nutritious dinner. An impeccable salad served chilled is great for a summer afternoon picnic or a dinner party. It is wholesome and rich in flavours and textures. Full of proteins and packed with nutrition this salad will surely be a hot with your family.",Continental,Side Dish,High Protein Vegetarian,"Kabuli Chana (White Chickpeas), Orange, Anardana Powder (Pomegranate Seed Powder), Black grapes, Mint Leaves (Pudina), Arugula leaves, Extra Virgin Olive Oil, Red Chilli flakes, Salt, Lemon juice","1 cup Kabuli Chana (White Chickpeas) , cooked  1 Orange , peeled and diced  1/4 cup Anardana Powder (Pomegranate Seed Powder)  1/4 cup Black grapes , sliced  3 sprig Mint Leaves (Pudina) , roughly torn Arugula leaves , a small bunch  1 teaspoon Extra Virgin Olive Oil  1 teaspoon Red Chilli flakes Salt , to taste  1 tablespoon Lemon juice",60,10,"To begin making the Fresh & Juicy Chickpea Salad with Fruits & Vegetables, combine all the ingredients together, except the mint leaves, salad leaves, salt, lemon juice, chili flakes.Refrigerate for couple of hours and when ready to serve the Chickpea Salad, stir in the remaining ingredients, adjust the taste accordingly and serve.Serve Fresh & Juicy Chickpea Salad with Fruits & Vegetables with Quick Creamy Pea Soup Recipe or Fresh Tomato Basil Pasta with Spinach for a light dinner.",Summer
Tamatar wali arbi sabzi recipe,Tamatar Wali Arbi Sabzi Recipe is a delicious dry sabzi recipe made with Colocasia. The par boiled colocasia is shallow fried and tossed in a garlic and tomatoes gravy flavoured with panch phoran masala. The panch phoran lends a beautiful flavour and texture to the dish.,North Indian,Lunch,Vegetarian,"Colocasia Leaves (ARBI), Onion, Tomatoes, Garlic, Tamarind, Kashmirind, Kashmiri Red Chilli Powder, Coriander Powder (Dhania), Turmeric Powder (Haldi), Garam Masala Powder, Panch Phoran Masala, Oil, Oil (Carania) Leaves, salt","500 grams Colocasia Leaves (Arbi) , boiled  1 Onion , finely chopped  4 Tomatoes , finely chopped  7 cloves Garlic , thinly sliced  1 Tamarind , lemon sized  2 teaspoons Kashmiri Red Chilli Powder  3 teaspoons Coriander Powder (Dhania)  1/2 teaspoon Turmeric powder (Haldi)  1 teaspoon Garam masala powder  2 teaspoon Panch Phoran Masala  2 tablespoons Oil  2 sprig Coriander (Dhania) Leaves , finely chopped for garnish Salt , to taste",10,20,"To begin making the Tamatar Wali Arbi Sabzi Recipe, wash the colocasia under running water to get rid of the mud.Soak the tamarind in one cup of water for fifteen minutes.Pressure cook with 2 cups of water, tamarind water for 2 whistles. Let the pressure release naturally and open the pressure cooker. Remove the peels of the arbi/colocasia and  cut them into roundels and keep aside.Heat a tablespoon of oil in a heavy bottomed pan, add the colocasia roundels and shallow fry until they turn golden brown and keep aside.Add the remaining oil to the pan, add in the panch phoran and let the seeds splutter. Add the onions and garlic, saute until it turns golden brown.Add the tomatoes and saute until it turns soft and mushy. Add the turmeric, kashmiri red chilli, coriander powder and mix well.Now, add the shallow fried colocasia roundels, season with salt and mix well.Let the colocasia roundels absorb the tomato gravy into it and turn a bit soft. Keep stirring Occasionally.Once done, switch off the heat, garnish Tamatar Wali Arbi Sabzi with coriander leaves and serve.Serve the Tamatar Wali Arbi Sabzi Recipe along with Tawa Paratha, Dal Tadka and Kachumber Salad for a simple yet delicious weeknight dinner.",Monsoon
Layered Vegetable Tricolor Biryani Recipe,The Layered Tricolour Biryani recipe is a combination of colors of the made with natural vegetable ingredients.,North Indian,Lunch,Vegetarian,"Rice, Salt, Ghee, Green beans (French Beans), Carrot (Gajjar), Garlic, Ginger, Onions, Tomatoes, Green Chillies, Cloves (Laung), Cinnamon Stick (Dalchini), Cardamom (Elaichi) Pods/Seeds, Bay leaves (tej patta), Turmeric powder (Haldi), Red Chilli powder, Curd (Dahi / Yogurt), Mint Leaves (Pudina), Oil, Potato (Aloo), Green Chillies, Onions, Oil, Spinach Leaves (Palak), Mint Leaves (Pudina), Cumin powder (Jeera), Cinnamon Stick (Dalchini), Salt, Oil","Main ingredients 2 cups Rice Salt , to taste  3 tablespoons Ghee Ingredients for orange layer 1/2 cup Green beans (French Beans) , chopped and steamed  1/2 cup Carrot (Gajjar) , chopped and steamed  2 tablespoons Garlic , paste  2 tablespoons Ginger , paste  1 cup Onions , chopped  1 cup Tomatoes , chopped  2 tablespoons Green Chillies , paste  2 cloves Cloves (Laung)  1 inch Cinnamon Stick (Dalchini)  2 Cardamom (Elaichi) Pods/Seeds  1 Bay leaves (tej patta)  1/2 teaspoon Turmeric powder (Haldi)  1 teaspoon Red Chilli powder  1/2 cup Curd (Dahi / Yogurt)  1/2 cup Mint Leaves (Pudina) , chopped  2 tablespoons Oil Ingredients for white layer 1 cup Potato (Aloo) , boiled and cubed  2 teaspoons Green Chillies , chopped  1 tablespoon Onions , caramelised  1/2 teaspoon Oil Ingredients for green layer 1 cup Spinach Leaves (Palak) , blanched and finely chopped  1/2 cup Mint Leaves (Pudina) , finely chopped  1 teaspoon Cumin powder (Jeera) , roasted  1 inch Cinnamon Stick (Dalchini) Salt , to taste  1/2 teaspoon Oil",20,70,"Cook the rice with 4 cups of water, salt and 3 tablespoons of ghee. Set aside to cool. Once cooled fluff up with fork to release it from getting sticky and divide the rice into three equal portions.",Summer
Prawns In Mashed Green Grams Soup Recipe,"Prawns in Mashed Green Grams Soup, green grams are allowed to sprout. Then they are cooked till soft and mashed well with fork. The prawns and spices give it a extra taste. This soup is perfect for the days when you want to eat something delicious and light. ",Indian,Dinner,Non Vegeterian,"Prawns, Green Moong Sprouts, Celery, Mint Leaves (Pudina), Tomato, Vegetable stock, Onion, Bay leaves (tej patta), Whole Black Peppercorns, Cloves (Laung), Ginger, Garlic, Oil, Black pepper powder, Corn flour, Red Chilli flakes","50 grams Prawns , peeled and deveined  1 Cup Green Moong Sprouts , boiled and mashed  3 Celery , chopped into small cubes  8 Mint Leaves (Pudina)  1 Tomato , diced  3 cups Vegetable stock , or more as needed  1 Onion , sliced  1 Bay leaves (tej patta)  2 Whole Black Peppercorns  2 Cloves (Laung)  1 teaspoon Ginger , grated  1 teaspoon Garlic , grated  1 Tablespoon Oil , or as required  1 teaspoon Black pepper powder  1 Tablespoon Corn flour , dissolved in 1 tablespoon water Red Chilli flakes , (optional)",2880,20,"To begin making the Prawns In Mashed Green Grams Soup recipe, for green gram sprouts, you have to soak green grams in water in advance and then tie them in thin muslin cloth.Keep them in warm place and after 2 days, you will get nice and big sprouted green grams. Wash them well and separate out the peels.Boil a cup of sprouted green grams till soft. I pressured cooked them for upto 1 whistle to make the process faster.You can also cook them in a saucepan with enough water for about 35-40 minutes. Remove and mash with spoon or fork. It need not be very smooth paste.In a saucepan, heat oil and saute bay leaves, peppercorns and cloves for few seconds on medium heat.Saute grated ginger garlic on low heat till the raw smell goes away. Add sliced onions and fry till they turn golden.Once they turn golden, add diced tomatoes and let tem cook till it becomes soft. It will take additional 5 minutes.Blend this in the blender along with celery cubes and mint leaves. Add very less water while blending if required.In the same saucepan, add a tablespoon of oil and add shrimps. Fry for few seconds. Sprinkle with some pepper powder, chili flakes and saute them till they turn pink.Once they turn pink, add vegetable broth and cook the shrimps covered for about 10 minutes. Remove the cover and pour in the tomato paste along with mashed green grams. Mix it well.Add salt and let it come to complete boil. Add corn starch if you want your soup to be very thick. Mix well and keep the heat on low and simmer for 5 minutes.Remove from heat and pour it in a serving bowl, garnish with some mint leaves and sprinkle some black pepper powder. Serve hot.Serve Prawns in Mashed Green Grams Soup along with Farm Fresh Vegetarian Pasta Salad for a weeknight dinner.",Summer
Tripura Style Kosoi Bwtwi Recipe - Sauteed Tofu & Green Beans Stir Fry With Garlic,"Tripura Style Kosoi Bwtwi Recipe is a recipe from North East. Tripura Style Kosoi Bwtwi Recipe is a vegetarian delicacy with simple spices but protein rich tofu in it. The people from Tripura also use Shrimp sauce instead, that manages the protein content in the meal.",North East India ,Side Dish,High Protein Vegetarian,"Green beans (French Beans), Onion, Garlic, Green Chillies, Tofu, Oil, Salt, Black pepper powder","2 cups Green beans (French Beans) , chopped to 1-inch & parboiled  1/4 cup Onion , chopped  1 cloves Garlic , chopped   2 Green Chillies , slit vertically   100 grams Tofu , cubed  2 teaspoons Oil Salt , to taste Black pepper powder , to taste",10,20,"To begin making the Tripura Style Kosoi Bwtwi Recipe, parboil the green beans in a steamer.Meanwhile cut the tofu and stir fry them on a shallow frying pan with a few drops of cooking oil for about a minute on each side.Once you take out the tofu, in the same shallow frying pan, heat the oil (I have used olive oil to make the recipe more healthy and interesting) and saute onions, garlic cloves, chopped green chillies and saute till the raw smell goes away.Once the raw smell goes away and the veggies are tender, add green beans along with sauteed tofu and stir fry for a few minutes.Add salt and pepper as per taste, mix everything well and serve hot.Serve Tripura Style Kosoi Bwtwi Recipe as a side dish along with a meal of Steamed Rice, Assamese Bilahi Boror Tenga Recipe (Sour Curry With Red Lentil Fritters) and Garlic Dal.",Monsoon
Paneer Jalfrezi Recipe,"Paneer Jalfrezi is a simple and quick to cook vegetable where the vegetables are stir-fried and tossed along with tomatoes and spices. The addition of homemade tomato puree, when combined with the homemade garam masala powder, and the fresh coriander leaves, brings out the fresh flavors of the Paneer Jalfrezi. Serve the Paneer Jalfrezi along with Raita for a weeknight dinner.",North Indian,Side Dish,Vegetarian,"Paneer (Homemade Cottage Cheese), Onion, Red Bell pepper (Capsicum), Green Bell Pepper (Capsicum), Carrots (Gajjar), Ginger, Garlic, Tomato, Homemade tomato puree, Honey, Turmeric powder (Haldi), Garam masala powder, Coriander Powder (Dhania), Coriander (Dhania) Leaves, Butter (Salted)","250 grams Paneer (Homemade Cottage Cheese)  1 Onion , diced  1 Red Bell pepper (Capsicum) , diced  1 Green Bell Pepper (Capsicum) , diced  2 Carrots (Gajjar) , diced thin  1 inch Ginger , grated  2 cloves Garlic , grated  1 Tomato , diced  1 cup Homemade tomato puree  1 teaspoon Honey  1/2 teaspoon Turmeric powder (Haldi)  1 teaspoon Garam masala powder  1 teaspoon Coriander Powder (Dhania)  1 Stalk Coriander (Dhania) Leaves , finely chopped  1 tablespoon Butter (Salted) , softened",20,40,"To begin making the Paneer Jalfrezi Recipe, first make your  Paneer, Tomato Puree and the remaining vegetables cut and ready.Heat oil in a cooking vessel. Once hot, add cumin seeds and allow them to splutter. Add sliced onions and saute for 5 minutes.Heat oil in a heavy bottomed cooking pan or a Kadai, heat a teaspoon of oil. Add the onions, ginger, garlic, bell peppers and carrots and stir fry on medium heat until they are lightly softened.Next add the tomatoes, the tomato puree, turmeric powder, garam masala powder, coriander powder, salt, red chili powder. Stir-fry the paneer jalfrezi for 4 to 5 minutes, until you notice a thick gravy has formed and all the spices have been absorbed well into the vegetables.  Finally add the honey, the paneer and stir it in the masala. Check the salt and spice levels of the Paneer Jalfrezi and adjust to suit your taste. Give the Jalfrezi a simmer for 3 to 4 minutes and turn off the heat.Transfer to a serving bowl and serve the Paneer Jalfrezi along with Raita for a weeknight dinner.",Monsoon
Honey Roasted Sweet Potato With Red Onions Recipe,"Honey Roasted Sweet Potato With Red Onions Recipe is a simple roasted vegetable that goes well during the winter season. The chunks of sweet potato and onions are roasted in the oven with sweet and spicy sauce. The sauce is mixed with honey, mustard, lemon juice and chilli flakes to build the flavor in the sweet potato.",Continental,Side Dish,Vegetarian,"Sweet Potatoes, Onions, Garlic, Red Chilli flakes, Honey, Tabasco Original - Hot Sauce, English Mustard Sauce, Salt and Pepper, Oil","500 grams Sweet Potatoes , peeled and cut into chunks  2 Onions , cut into thick wedges  2 cloves Garlic , finely chopped For the dressing 2 teaspoons Red Chilli flakes  1 tablespoon Honey  1 tablespoon Tabasco Original - Hot Sauce  1 tablespoon English Mustard Sauce Salt and Pepper , to taste Oil , for cooking",10,45,"We begin making Honey Roasted Sweet Potato With Red Onions Recipe pre heat the oven at 180 degree Celsius for about 10 minutes.Mix all the ingredients for the dressing, and toss it with the potatoes and onions. Lay them on the tray and roast it for about 30 minutes till it becomes soft.Serve the Honey Roasted Sweet Potato With Red Onions Recipe is a delicious recipe to serve during Christmas time and can also served as a side dish along with Chicken Lasagna Recipe.",Monsoon
Karamani Poriyal Recipe - Yard Long Beans Stir Fry | Chawli | Barbati sabzi,"Karamani Poriyal is a very traditional South Indian style stir fry, that is very healthy, nutritious and quick to make. Karamani also known as Yard Long Beans, is a very nutritious vegetable having the lowest amount of calories and highest amount of soluble and insoluble fibers making it a perfect food for weight watchers. Addition of red chilli during making the tadka is completely optional.",South Indian,Lunch,Vegetarian,"Green Chawli Beans (Yard long beans/Karamani/Barbati), Oil, Mustard seeds (Rai/ Kadugu), White Urad Dal (Split), Turmeric powder (Haldi), Asafoetida (hing), Curry leaves, Fresh coconut, Dry Red Chillies, Salt","300 grams Green Chawli Beans (Yard long beans/Karamani/Barbati) , chopped  1 teaspoon Oil  1 teaspoon Mustard seeds (Rai/ Kadugu)  1 teaspoon White Urad Dal (Split)  1/2 teaspoon Turmeric powder (Haldi)  1/4 teaspoon Asafoetida (hing)  1 sprig Curry leaves  2 tablespoons Fresh coconut , grated  2 Dry Red Chillies Salt , to taste",10,20,"To begin making the Karamani Poriyal (South Indian Style Yard Long Beans Stir Fry) recipe, first chop the yard long beans finely.Grind the grated coconut along with the red chillies in a mixer to a dry mix and keep it aside.Place the beans in a pressure cooker, add salt and 2 tablespoons water and pressure cook for two whistles. After two whistles, turn off the heat and release the pressure immediately. Heat oil in a pan/ kadai over medium heat. Add the mustard seeds and urad dal and allow them to crackle and the dal to turn golden brown and crisp.Add the curry leaves, asafoetida and fry for few seconds. Now add the yard long beans and the ground coconut. Stir-fry the Karamani Poriyal for a few seconds on high heat and then turn off the heat. Check the salt and adjust to taste accordingly.Serve the Karamani Poriyal with Steamed Rice and Sambar/Rasam for the weeknight meal.",Spring
Watermelon & Feta Skewers Recipe,"Watermelon & Feta Skewers Recipe is healthy Christmas themed party appetizer recipe with juicy watermelon, iron-packed spinach ;leaves, olive roundels, and creamy feta cheese. You bite into this little crunchy treat and the yumminess arising because of the combination ;of flavour ;becomes your new addiction.",Italian ,Appetizer,High Protein Vegetarian,"Watermelon, Feta Cheese, Spinach Leaves (Palak), Black olives, Chaat Masala Powder","1/2 Watermelon , deseeded & cubed  100 grams Feta Cheese , cubed  12 Spinach Leaves (Palak) , (select baby leaves)  12 Black olives , sliced Chaat Masala Powder , to taste",10,0,"To begin making Watermelon & Feta Skewers Recipe, take a baby spinach leaf, place a watermelon cube on it, feta cheese cube and a sliced black olive and insert a skewer/toothpick through.Repeat the process to make all the skewers.Finally, sprinkle Chaat Masala powder, once all the bites are prepared and serve Watermelon & Feta Skewers Recipe immediately for snack or as a party appetizer.Serve it as an entree to the evening party with skewers spread on a platter with other assorted cheese bites like Pineapple and cheese skewers or Fruit Kebabs and the audience of all ages are sure to love them.",Summer
Mango Pulusu Recipe - Mamidi Pandu Pulusu Recipe,Mamidi Pandu Pulusu is a spicy and tangy andhra style ripe mango curry that is packed with flavors from methi and hing cooked in a tamarind gravy. This Pulusu can be also made with raw mango ( Totapuri ) as well.,Andhra,Lunch,Vegetarian,"Mango (Ripe), Green Chillies, Red Chilli powder, Mustard seeds (Rai/ Kadugu), Methi Seeds (Fenugreek Seeds), Asafoetida (hing), Curry leaves, Oil, Salt, Tamarind Paste, Coriander (Dhania) Leaves","3 Mango (Ripe)  3 Green Chillies , slit  1 teaspoon Red Chilli powder  1 teaspoon Mustard seeds (Rai/ Kadugu)  1 teaspoon Methi Seeds (Fenugreek Seeds) Asafoetida (hing) , A pinch  10 Curry leaves  1 tablespoon Oil Salt , to taste  1 teaspoon Tamarind Paste  2 sprig Coriander (Dhania) Leaves , to garnish",15,30,"To begin making the Mamidi Pandu Pulusu, firstly peel the ripe mangoes and keep aside.In a pan, place oil and add mustard seeds and let them crackle.Once it crackles, add asafoetida, curry leaves and green chillies and saute it for a minute.After a minute, add the peeled mangoes and sauté till its a little until it becomes a little soft.Add red chilly powder and a cup of water, tamarind paste, salt and cover it until it comes to a boil.Once the water starts evaporating, add another cup of water and boil again. At the end of it, you should be left with nice thick Mamidi Pandu Pulusu.After 2-3 minutes, switch off the gas and the Mamidi Pandu Pulusu/ Mango Pulusu is ready to be served.Serve the Mango Pulusu Recipe along with steamed rice, Spicy Potato Roast Recipe and a Rajma and Corn Salad Recipe",Summer
Avarekalu Kadubu Recipe (Hyacinth Beans Steamed Dumplings),"Bored of your regular muesli, sandwiches, idli/dosa or poha breakfasts? Try this healthy north karnataka style Avarekalu Kadubu Recipe (Hyacinth Beans Steamed Dumplings). Avarekalu are hyacinth beans which are rich in calcium and iron. The healthy beans are boiled and mixed with the spiced cream of rice mixture, and then steamed into small balls. It is soft, spicy and the rice rava adds a nice crumbly texture to the dumpling. Serve the Avarekalu Kadubu Recipe (Hyacinth Beans Steamed Dumplings) along with South Indian Coconut Chutney  for breakfast along with South Indian Filter Coffee Recipe or as an after school snack for the kids.",Karnataka,South Indian Breakfast,Vegetarian,"Rice rava, Avarekalu / Lilva Beans, Green Chillies, Curry leaves, Cumin seeds (Jeera), Salt","1 cup Rice rava  1/2 cup Avarekalu / Lilva Beans , boiled  1 Green Chillies , finely chopped  1 sprig Curry leaves , finely chopped  1 teaspoon Cumin seeds (Jeera) Salt , to taste",15,10,"To begin making Avarekalu Kadubu Recipe (Hyacinth Beans Steamed Dumplings), take a kadai and dry roast the rice rava on a medium heat for about 5 minutes or until fragrant and pour it out on a bowl. Keep aside.Boil hyacinth beans with a little salt in water until they are cooked well. This will take around 10 minutes. It is better not to use a pressure cooker; use a saucepan to cook the lilva beans since they will retain their shape and wont be mushy.Drain and keep aside on a plate to cool till handleable. You can reserve the drained water to use for later.Put the idli steamer on medium heat with a cup water added to it.Take a bowl, add the dry roasted rice rava, boiled hyacinth beans, chopped curry leaves, chilli, cumin seeds, season with salt and mix well.To this add 1/2 cup lukewarm water (you can use the stock of water that you cooked the avarekalu in) and mix well. The mixture should be crumbly but should hold the shape if pressed tightly between fingers and palm.Take a small portion of the mixture, and hold it tightly to form a ball. Likewise, form small balls of kadubu with the rest of the mixture.Place these kadubu into the steamer, close it with a lid and steam for about 8 minutes on medium high heat or till firm and done.Serve the Avarekalu Kadubu Recipe (Hyacinth Beans Steamed Dumplings) along with South Indian Coconut Chutney for breakfast along with South Indian Filter Coffee Recipe or as an after school snack for the kids.",Spring
Assamese Poita Bhat With Aloo Pitika Recipe,"Assamese Poita bhat is a very humble breakfast dish. It’s a healthy body coolant for summers with poita bhat with aloo pitika is so comforting! The slightly fermented rice has lot more health benefits.  It is believed that regular consumption of this kanji can ease you from your stomach ulcers, prevents you from dehydration during summers, and is also rich is vitamins (vitamin B12 in specific).  So next time you have leftover rice from your dinner, turn it into a soothing and comforting breakfast for next morning by soaking the left over rice in water overnight.",Assamese,North Indian Breakfast,Gluten Free,"Cooked rice, Curd (Dahi / Yogurt), Onions, Green Chillies, Salt, Potatoes (Aloo), Turmeric powder (Haldi), Mustard oil, Green Chillies, Salt","For Poita Bhat 1 cup Cooked rice , soaked in 2 cups water over night  1/4 cup Curd (Dahi / Yogurt) , or ½ cup buttermilk  2 tablespoon Onions , chopped  2 Green Chillies , finely chopped Salt , to taste For Aloo Pitika 3 Potatoes (Aloo)  1/2 teaspoon Turmeric powder (Haldi)  1 tablespoon Mustard oil  2 Green Chillies Salt , to taste",5,20,"To prepare Assamese Poita Bhat With Aloo Pitika Recipe, soak leftover rice rice in 2 cups water overnight.Next morning, add beaten curd or buttermilk and mix well in a mixing bowl. Add salt, chopped onions and green chilies. Keep aside.To prepare aloo pitika, boil potatoes, peel the skin and mash it well. Make sure no lumpy pieces are present.Heat mustard oil in a kadai and when oil turns smoking hot, add turmeric powder.Whisk it quickly and pour it into mashed potatoes. Mix well.Add chopped green chilies and mix again. Aloo pitika is ready.Serve Assamese Poita Bhat With Aloo Pitika Recipe for breakfast.",Summer
Mangalore Style Southe Gatti/Southekayi kadubu Recipe (Steamed Cucumber Dumplings),"Mangalore Style Southe Gatti/Southekayi kadubu Recipe (Steamed Cucumber Dumplings) is a hot steamed rice and cucumber dumpling. Gatti is usually prepared using rice, coconut and finely grated squash. You can use any different type of squash like Mangalore cucumber, white or yellow pumpkin. Traditionally they are steamed using a banana leaf which also gives a nice flavor and aroma to the dumpling. You can make these as a healthy start for your breakfast or even serve it as a snack during your evening time.",Mangalorean,South Indian Breakfast,Vegetarian,"Idli Rice, Fresh coconut, Cucumber, Sugar, Salt","1 cup Idli Rice , washed and dried  1/2 cup Fresh coconut  1 Cucumber , grated  1 tablespoon Sugar Salt , a pinch, or to taste",10,20,"To begin making the Mangalore Style Southe Gatti, we will wash the rice thoroughly with water and place them spread over a table cloth so that it dries away faster.Grind it in a mixer to a smooth powder, keep it aside add coconut and grind that also to a coarse mixture.Mix all the rest of the ingredients into a bowl and you will have a consistency of a dropping batter.Heat a vegetable steamer, if you are using a banana leaf cut them into rectangular shape and place the batter in the center and fold it tightly and carefully place it inside the steamer. You can as well use a parchment paper.Steam them for at least 15 minutes and serve hot. Serve the Mangalore Style Southe Gatti along with coconut chutney, tomato onion chutney to enjoy the breakfast.",Summer
SEMOLINE VEGABLE CHILLA RECIPE,Semolina Vegetable Chila is a perfect way to feed vegetables to your kids. It is a little time consuming but it’s worth it. Not only it’s tasty but is really healthy also. And the best part is that it’s almost oil free. You can also make this chila for your breakfast and can pack it for your lunch too.,Indian,Indian Breakfast,Vegetarian,"Sooji (Semolina/ Rava), Whole Wheat Flour, Water, Onion, Tomato, Curd (Dahi / Yogurt), Carrot (Gajjar), Raw papaya, Cabbage (Patta Gobi/ Muttaikose), Green Bell Pepper (Capsicum), Green Chillies, Coriander (Dhania) Leaves, Black pepper powder, Salt, Extra Virgin Olive Oil","1-1/2 cup Sooji (Semolina/ Rava)  1/2 cup Whole Wheat Flour  1/2 cup Water  1 Onion , finely chopped  1 Tomato , finely chopped  1 cup Curd (Dahi / Yogurt)  1/4 cup Carrot (Gajjar) , grated  1/4 cup Raw papaya , grated  1/4 cup Cabbage (Patta Gobi/ Muttaikose) , grated  1/4 cup Green Bell Pepper (Capsicum) , grated  2 Green Chillies , finely chopped Coriander (Dhania) Leaves , few (chopped)  1/2 teaspoon Black pepper powder Salt , to taste  1 teaspoon Extra Virgin Olive Oil",15,30,"To begin making the Semolina Vegetable Chila recipe, In a bowl, make a batter of semolina, curd, and water by mixing them together. Add Wheat flour too. The consistency of the batter should not be runny, neither it should be too thick. Let the batter rest for at least 20-25 minutes.Now in the mixture add all the vegetables, salt and pepper. If after adding vegetables the batter becomes thick then add a little water or curd.Now take a non-stick pan and put it on low medium flame.Brush it with little olive oil. Once the pan is hot, pour a big ladle of mixture and spread it evenly on the pan. It should be thin like a pancake.Put the lid on and let the chila gets cooked in steam on low flame for 5-7 minutes. Once a while flip the chila, so that both sides get cooked evenly and yellowish golden in colour. Make rest of the chilas in a similar way.Serve Semolina Vegetable Chila along with Dhaniya Pudina Chutney, Tomato Chutney or any other chutney of your choice for your breakfast or as a tea time snack.",Summer
Kathriiki Gothsu Recipe - Kathirikai Gotsu Recipe,"The Kathrikai Gothsu recipe is a traditional recipe in which brinjal is cooked with daily spices. Sambar powder is also used along with other mosters, which makes it even more tasty. Along with this, some jaggery is also used in it, which gives some sweetness in this curry.",South Indian,Side Dish,Vegetarian,"Brinjal, small onion, tomato, ginger, tamarind water, sambar powder, asafoetida, turmeric powder, jaggery, rye, kadhi leaf, sesame oil, salt, green coriander","Cut 1 brinjal, cut 10 small onion, cut 2 tomatoes, cut 1 inch ginger, finely chop 1/2 cup tamarind water 1 teaspoon sambar powder 1/4 teaspoon asafetida 1/2 teaspoon turmeric powder 1 tablespoons 1 teaspoon jaggery 1 teaspoon jaggery 1 teaspoon rhea 1 1 spoon kadhi leaf 1 spoon kadhi kadhi bipa",20,30,"To make the Kathriiki Gothsu recipe, first heat the oil in a pressure cooker. Add the mustard seeds and let it swell. Now add asafoetida, curry leaves, sambar onion, ginger and cook until the onion becomes soft. After the onion becomes soft, add brinjal, tomato, tamarind water, turmeric powder, asafoetida, sambar powder, salt, jaggery, water and mix it. Turn off the gas and let the pressure come out on its own. Open the cooker, mix and garnish with green coriander. Serve the Kathiyiki Gothsu recipe with Ven Pongal and Filter Coffee for the morning breakfast.",Monsoon
चकुंदर पनीर करी रेसिपी -  Beetroot Paneer Curry Recipe In Coconut Milk,चकुंदर पनीर करी एक फ्लेवर से भरपूर सब्ज़ी है जिसमे पनीर और बीटरूट को नारियल के दूध में पकाया जाता है. कढ़ी पत्ता और अदरक का प्रयोग किया जाता है और इसे दक्षिण भारतीय स्टाइल में बनाया जाता है. यह बनाने में आसान है और इसे बनाने में बहुत कम समय लगता है.,Indian,Side Dish,High Protein Vegetarian,"पनीर, चकुंदर, प्याज, हरी मिर्च, अदरक, लहसुन, धनिया पाउडर , हल्दी, गरम मसाला पाउडर , नारियल का दूध, तेल, नमक, लाल मिर्च पाउडर ","200 ग्राम पनीर , काट ले  2 चकुंदर , छीलकर काट ले  1 प्याज , बारीक काट ले  2 हरी मिर्च , सीधा काट ले  1 इंच अदरक , कस ले  2 कली लहसुन , बारीक काट ले  1 छोटा चमच्च धनिया पाउडर   1 छोटा चमच्च हल्दी  1 छोटा चमच्च गरम मसाला पाउडर   3/4 कप नारियल का दूध  2 छोटे चमच्च तेल , प्रयोग अनुसार नमक , स्वाद अनुसार लाल मिर्च पाउडर  , स्वाद अनुसार",15,40,"चकुंदर पनीर करी बनाने के लिए सबसे पहले चकुंदर, प्याज, अदरक, लहसुन, हरी मिर्च को प्रेशर कुकर में 1 कप पानी, हल्दी पाउडर और नमक के साथ डाले।2 सिटी आने तक पका ले, अब आंच कम करें और 3 से 4 मिनट के लिए और पका ले. गैस बंद करें और प्रेशर को अपने आप निकलने दे. प्रेशर निकलने के बाद इसमें नारियल का दूध, पनीर, धनिया पाउडर, गरम मसाला पाउडर डाले और उबाला आने दे. उबाला आने के बाद, गैस बंद करें और इसे एक बाउल में निकाल ले. परोसे।चकुंदर पनीर करी को पालक रायता और चावल/तवा पराठा के साथ दिन के खाने के लिए परोसे।",All Season
