Food_Combo_ID,Season,Combo_Type,Food_Menu_Item_Main,Food_Menu_Item_Side_Dish,Food_Menu_Item_Dessert_Name,Waste_Risk_Score,Waste_Risk_Level,Estimated_Waste_Reduction_Percentage,Recommended_Strategies
68,Winter,Dinner Combo (Soup+Main+Beverage),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Beetroot Millet Paniyaram Recipe,Dry Fruit Halwa Recipe,0.505,Medium,38,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
69,Winter,Lunch Combo (Main+Side+Dessert),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Palak Tawve Recipe - Palak Tovve Recipe,Pineapple Kesari Bhath Recipe - Sweet Semolina Pudding,0.555,Medium,37,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
70,Winter,Dinner Combo (Soup+Main+Beverage),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Muesli Ragi Chocolate Chip Cookies Recipe ,Pineapple Kesari Bhath Recipe - Sweet Semolina Pudding,0.505,Medium,39,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
71,Winter,Lunch Combo (Main+Side+Dessert),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Spinach Stir Fry Recipe With Garlic,Gulab Jamun Recipe With Khoya,0.555,Medium,31,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
72,Winter,Dinner Combo (Soup+Main+Beverage),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,High Protein Spinach & Soy Bites Recipe,Gulab Jamun Recipe With Khoya,0.58,Medium,42,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
73,Winter,Lunch Combo (Main+Side+Dessert),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Palak Tawve Recipe - Palak Tovve Recipe,Homemade Easy Gulab Jamun Recipe - Delicious & Tasty,0.555,Medium,40,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
74,Winter,Dinner Combo (Soup+Main+Beverage),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Paneer Satay Recipe,Homemade Easy Gulab Jamun Recipe - Delicious & Tasty,0.58,Medium,40,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
75,Winter,Lunch Combo (Main+Side+Dessert),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Carrot Capsicum Poriyal Recipe,Chocolate rava ladoo recipe,0.402,Medium,35,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
76,Winter,Dinner Combo (Soup+Main+Beverage),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Muesli Ragi Chocolate Chip Cookies Recipe ,Chocolate rava ladoo recipe,0.352,Medium,39,Track daily usage & adjust portions; Bulk prep & chilled storage; Use bulk purchasing & long-shelf ingredients; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
77,Winter,Lunch Combo (Main+Side+Dessert),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Gambang Recipe Bread (Indonesian Bread Recipe),Ragi Choco Coffee Mug Cake Recipe,0.492,Medium,40,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
78,Winter,Dinner Combo (Soup+Main+Beverage),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Beetroot Millet Paniyaram Recipe,Ragi Choco Coffee Mug Cake Recipe,0.397,Medium,39,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
79,Winter,Lunch Combo (Main+Side+Dessert),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Jain Style Paneer Butter Masala Recipe | No Onion No Garlic Paneer Makhani,Rose Flavoured Shahi Tukda Recipe,0.6,Medium,41,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
80,Winter,Dinner Combo (Soup+Main+Beverage),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Cauliflower Palak Methi Muthia Recipe ,Rose Flavoured Shahi Tukda Recipe,0.535,Medium,36,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
81,Winter,Lunch Combo (Main+Side+Dessert),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Maharashtrian Style Dashmi Roti Recipe (Jaggery Flatbread) ,Shahi Tukda Gajar Halwa Shots With Rabri Recipe,0.492,Medium,40,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
82,Winter,Dinner Combo (Soup+Main+Beverage),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Spicy Roasted Pumpkin Carrot Soup Recipe,Shahi Tukda Gajar Halwa Shots With Rabri Recipe,0.472,Medium,36,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
83,Winter,Lunch Combo (Main+Side+Dessert),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Carrot Capsicum Poriyal Recipe,Gulab Jamun Recipe With Khoya,0.447,Medium,35,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
84,Winter,Dinner Combo (Soup+Main+Beverage),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Braided Almond Roll Recipe,Gulab Jamun Recipe With Khoya,0.472,Medium,34,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
85,Winter,Lunch Combo (Main+Side+Dessert),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Dal Palak Recipe With Moong & Masoor Dal,Ragi Choco Coffee Mug Cake Recipe,0.555,Medium,38,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
86,Winter,Dinner Combo (Soup+Main+Beverage),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Beet Latte Recipe,Ragi Choco Coffee Mug Cake Recipe,0.58,Medium,48,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
87,Winter,Lunch Combo (Main+Side+Dessert),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Jain Style Paneer Butter Masala Recipe | No Onion No Garlic Paneer Makhani,Chocolate rava ladoo recipe,0.447,Medium,32,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
88,Winter,Dinner Combo (Soup+Main+Beverage),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Ella Ada Recipe-Steamed Rice Pancakes With Coconut & Jaggery Filling,Chocolate rava ladoo recipe,0.382,Medium,39,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
89,Winter,Lunch Combo (Main+Side+Dessert),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Spinach Stir Fry Recipe With Garlic,Ragi Choco Coffee Mug Cake Recipe,0.447,Medium,28,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
90,Winter,Dinner Combo (Soup+Main+Beverage),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Khajur Satori Recipe (Dates Flatbread),Ragi Choco Coffee Mug Cake Recipe,0.472,Medium,39,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
91,Winter,Lunch Combo (Main+Side+Dessert),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Karnataka Style Harive Soppu Bendi Recipe (Amaranth Leaves Cooked in Coconut Broth),Homemade Easy Gulab Jamun Recipe - Delicious & Tasty,0.417,Medium,40,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
92,Winter,Dinner Combo (Soup+Main+Beverage),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Cheese and Spinach Tart Recipe,Homemade Easy Gulab Jamun Recipe - Delicious & Tasty,0.472,Medium,31,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
93,Winter,Lunch Combo (Main+Side+Dessert),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Spinach Stir Fry Recipe With Garlic,Maharashtrian Gavachi Kheer Recipe (Whole Cracked Wheat Pudding),0.447,Medium,32,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
94,Winter,Dinner Combo (Soup+Main+Beverage),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Braided Almond Roll Recipe,Maharashtrian Gavachi Kheer Recipe (Whole Cracked Wheat Pudding),0.472,Medium,42,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
95,Winter,Lunch Combo (Main+Side+Dessert),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Keerai Masiyal Recipe | Simple Steamed Spinach with Tadka | Tamil Nadu Recipe,Dry Fruit Halwa Recipe,0.447,Medium,26,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
96,Winter,Dinner Combo (Soup+Main+Beverage),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Paneer Satay Recipe,Dry Fruit Halwa Recipe,0.472,Medium,41,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
97,Winter,Lunch Combo (Main+Side+Dessert),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Spinach Stir Fry Recipe With Garlic,Homemade Easy Gulab Jamun Recipe - Delicious & Tasty,0.555,Medium,36,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
98,Winter,Dinner Combo (Soup+Main+Beverage),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,"Millet Cottage Cheese Fritters Recipe-Flavored With  Za'atar,",Homemade Easy Gulab Jamun Recipe - Delicious & Tasty,0.58,Medium,46,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
99,Winter,Lunch Combo (Main+Side+Dessert),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Jain Style Paneer Butter Masala Recipe | No Onion No Garlic Paneer Makhani,Maharashtrian Gavachi Kheer Recipe (Whole Cracked Wheat Pudding),0.492,Medium,37,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
100,Winter,Dinner Combo (Soup+Main+Beverage),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,"Millet Cottage Cheese Fritters Recipe-Flavored With  Za'atar,",Maharashtrian Gavachi Kheer Recipe (Whole Cracked Wheat Pudding),0.472,Medium,40,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
101,Winter,Lunch Combo (Main+Side+Dessert),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Maharashtrian Style Dashmi Roti Recipe (Jaggery Flatbread) ,Paul Cassri Recipe - South Indian Style Milk Kesari,0.6,Medium,29,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
102,Winter,Dinner Combo (Soup+Main+Beverage),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Beetroot Millet Paniyaram Recipe,Paul Cassri Recipe - South Indian Style Milk Kesari,0.505,Medium,42,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
103,Winter,Lunch Combo (Main+Side+Dessert),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Maharashtrian Style Dashmi Roti Recipe (Jaggery Flatbread) ,Paul Cassri Recipe - South Indian Style Milk Kesari,0.492,Medium,34,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
104,Winter,Dinner Combo (Soup+Main+Beverage),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Khajur Satori Recipe (Dates Flatbread),Paul Cassri Recipe - South Indian Style Milk Kesari,0.472,Medium,46,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
105,Winter,Lunch Combo (Main+Side+Dessert),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Dal Palak Recipe With Moong & Masoor Dal,Chocolate rava ladoo recipe,0.51,Medium,41,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
106,Winter,Dinner Combo (Soup+Main+Beverage),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Cauliflower Palak Methi Muthia Recipe ,Chocolate rava ladoo recipe,0.49,Medium,31,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
107,Winter,Lunch Combo (Main+Side+Dessert),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Spinach Stir Fry Recipe With Garlic,Gajjar Halwa Recipe | Carrot Halwa | Indian Carrot Pudding ,0.447,Medium,36,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
108,Winter,Dinner Combo (Soup+Main+Beverage),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Khajur Satori Recipe (Dates Flatbread),Gajjar Halwa Recipe | Carrot Halwa | Indian Carrot Pudding ,0.472,Medium,43,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
109,Winter,Lunch Combo (Main+Side+Dessert),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Spinach Stir Fry Recipe With Garlic,Gajjar Halwa Recipe | Carrot Halwa | Indian Carrot Pudding ,0.555,Medium,38,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
110,Winter,Dinner Combo (Soup+Main+Beverage),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Cheese and Spinach Tart Recipe,Gajjar Halwa Recipe | Carrot Halwa | Indian Carrot Pudding ,0.58,Medium,35,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
111,Winter,Lunch Combo (Main+Side+Dessert),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Bendekayi Puli Koddel Recipe - Lady Finger In Coconut Tamarind Curry,Homemade Easy Gulab Jamun Recipe - Delicious & Tasty,0.447,Medium,40,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
112,Winter,Dinner Combo (Soup+Main+Beverage),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Braided Almond Roll Recipe,Homemade Easy Gulab Jamun Recipe - Delicious & Tasty,0.472,Medium,48,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
113,Winter,Lunch Combo (Main+Side+Dessert),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Dal Palak Recipe With Moong & Masoor Dal,Maharashtrian Gavachi Kheer Recipe (Whole Cracked Wheat Pudding),0.555,Medium,40,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
114,Winter,Dinner Combo (Soup+Main+Beverage),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Braided Almond Roll Recipe,Maharashtrian Gavachi Kheer Recipe (Whole Cracked Wheat Pudding),0.58,Medium,41,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
115,Winter,Lunch Combo (Main+Side+Dessert),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Spinach Stir Fry Recipe With Garlic,Paruppu Payasam Recipe - Stewed Dal Coconut Milk Payasam,0.447,Medium,38,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
116,Winter,Dinner Combo (Soup+Main+Beverage),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Ella Ada Recipe-Steamed Rice Pancakes With Coconut & Jaggery Filling,Paruppu Payasam Recipe - Stewed Dal Coconut Milk Payasam,0.427,Medium,39,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
117,Winter,Lunch Combo (Main+Side+Dessert),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Bendekayi Puli Koddel Recipe - Lady Finger In Coconut Tamarind Curry,Dry Fruit Halwa Recipe,0.447,Medium,37,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
118,Winter,Dinner Combo (Soup+Main+Beverage),Alugadde Batani Gasi Recipe - Potatoes and Peas Gassi,Braided Almond Roll Recipe,Dry Fruit Halwa Recipe,0.472,Medium,40,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
119,Winter,Lunch Combo (Main+Side+Dessert),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,Karnataka Style Harive Soppu Bendi Recipe (Amaranth Leaves Cooked in Coconut Broth),Karnataka Style Kashi Halwa Recipe With Ash Gourd,0.48,Medium,33,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
120,Winter,Dinner Combo (Soup+Main+Beverage),Kashmiri Paneer Gravy Recipe - Kashmiri Paneer Gravy Recipe,High Protein Spinach & Soy Bites Recipe,Karnataka Style Kashi Halwa Recipe With Ash Gourd,0.535,Medium,40,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
121,Monsoon,Lunch Combo (Main+Side+Dessert),Roasted Eggplant & Olive Lasagna Recipe,Bengali Style Chingri Posto Recipe (Prawns Cooked In Poppy Seed Gravy),Besan Ka Sheera Recipe (Natural Cold Remedy),0.6,Medium,36,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
122,Monsoon,Dinner Combo (Soup+Main+Beverage),Roasted Eggplant & Olive Lasagna Recipe,Vegetable Ragi Momo Recipe - Finger Millet Dumplings/ Dim Sum Recipe,Besan Ka Sheera Recipe (Natural Cold Remedy),0.535,Medium,47,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
123,Monsoon,Lunch Combo (Main+Side+Dessert),Spicy And Delicious Chicken Teriyaki Noodle Recipe,Cherupayar Thoran Recipe - Kerala Style Green Gram Sabzi,Besan Ka Sheera Recipe (Natural Cold Remedy),0.555,Medium,30,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
124,Monsoon,Dinner Combo (Soup+Main+Beverage),Spicy And Delicious Chicken Teriyaki Noodle Recipe,Spicy Sichuan Cauliflower Recipe,Besan Ka Sheera Recipe (Natural Cold Remedy),0.505,Medium,34,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
125,Monsoon,Lunch Combo (Main+Side+Dessert),Tofu Mushroom Curry Recipe in Ginger Mustard Sauce,Cumin Spiced Potato And Leek Soup Recipe,Besan Ka Sheera Recipe (Natural Cold Remedy),0.417,Medium,34,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
126,Monsoon,Dinner Combo (Soup+Main+Beverage),Tofu Mushroom Curry Recipe in Ginger Mustard Sauce,Ice Cream Tea Float Recipe,Besan Ka Sheera Recipe (Natural Cold Remedy),0.472,Medium,42,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
127,Monsoon,Lunch Combo (Main+Side+Dessert),Goan Style Mushroom Shagoti Recipe ,Tamil Nadu Style Broccoli Porial Recipe - Tamil Nadu Style Broccoli Poriyal Recipe,Besan Ka Sheera Recipe (Natural Cold Remedy),0.417,Medium,30,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
128,Monsoon,Dinner Combo (Soup+Main+Beverage),Goan Style Mushroom Shagoti Recipe ,Thai Basil Chicken Recipe-Pad Krapow Gai,Besan Ka Sheera Recipe (Natural Cold Remedy),0.472,Medium,43,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
129,Monsoon,Lunch Combo (Main+Side+Dessert),Burnt Garlic Mushroom Fried Rice Recipe ,Ginger Garlic Chicken Recipe,Besan Ka Sheera Recipe (Natural Cold Remedy),0.42,Medium,33,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Source local seasonal produce to reduce spoilage and transport loss"
130,Monsoon,Dinner Combo (Soup+Main+Beverage),Burnt Garlic Mushroom Fried Rice Recipe ,Milagai Bajji Stuffed with Masala Chicken Recipe ,Besan Ka Sheera Recipe (Natural Cold Remedy),0.4,Medium,44,"Track daily usage & adjust portions; Prep-to-order leafy items; Keep dressings/sauces separate; Use repurposing (soups, fillings); Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss"
131,Monsoon,Lunch Combo (Main+Side+Dessert),Eggplant Rolls Recipe,Amritsari Ajwaini Paneer Recipe,Besan Ka Sheera Recipe (Natural Cold Remedy),0.6,Medium,28,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Source local seasonal produce to reduce spoilage and transport loss
132,Monsoon,Dinner Combo (Soup+Main+Beverage),Eggplant Rolls Recipe,Corn Chilli Cheese Momos Recipe,Besan Ka Sheera Recipe (Natural Cold Remedy),0.58,Medium,39,Track daily usage & adjust portions; Batch small quantities; Use FIFO storage & rapid chill; Cross-utilize protein in stocks/soups; Plan cross-day menu reuse (stocks/bases); Use leftover bases for soups or gravies; Source local seasonal produce to reduce spoilage and transport loss
